"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"700_1_4-1","Individual 1 x 2 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_3_4-1","Individual 2 x 3 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_B-1","Early LEGO Windows/Doors (without Glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_F-1","Automatic Binding Bricks - Small Brick Set (Lego Mursten)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_1-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_16-1","Individual 2 x 8 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_2-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_20-1","Individual 2 x 10 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_24-1","Individual 2 x 12 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_28-1","Individual 2 x 14 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_3-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_3A-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_4-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_5-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_6-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C-1","Tall Classic Windows/Door (with Glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_1-1","Individual 1 x 6 x 4 Panorama Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_2-1","Individual 1 x 6 x 3 3-Pane Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_3-1","Individual 1 x 6 x 3 Shutter Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_4-1","Individual 1 x 4 x 3 Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_5-1","Individual 1 x 3 x 3 Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_6-1","Individual 1 x 2 x 4 Door (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_E-1","Individual 10 x 20 Baseplate",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_H-1","Individual 4 x 4 Corner Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"1200-1","LEGO Town Plan Board, Large Plastic",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1210-2","Small Store Set",NA,NA,"Basic","System","Town Plan","30",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1211-2","Small House Set",NA,NA,"Basic","System","Town Plan","19",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1212-2","Small House - Left Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1213-2","Small House - Right Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1214-2","Windows and Doors",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1215-2","2 x 8 & 2 x 10 Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1216-2","4 x 4 Corner Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1217-2","2 x 4 Bricks",NA,NA,"Basic","System","Supplemental","13",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1218-2","2 x 3 Bricks",NA,NA,"Basic","System","Supplemental","15",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1219-2","2 x 2 Bricks",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1220-2","1 x 2 Bricks",NA,NA,"Basic","System","Supplemental","26",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1221-2","1 x 1 Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1222-2","1 x 1 Round Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1223-2","2 x 2 & 2 x 4 Curved Bricks",NA,NA,"Basic","System","Supplemental","14",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1224-2","8 Named Beams",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1225-2","Mixed Plates Parts Pack",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955","Box","Retail",NA,"Normal"
"1230-2","Windows and Door without Glass",NA,NA,"Basic","System","Supplemental","7",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1235-2","Garage Plate and Door",NA,NA,"Basic","System","Supplemental","3",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1236-2","Garage",NA,NA,"Basic","System","Town Plan","59",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1237-2","Service Station",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1240-2","8 Road Signs",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1241-2","8 Road Signs",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1247-2","Esso Pumps/Sign",NA,NA,"Basic","System","Supplemental","2",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1248-2","Painted Trees and Bushes",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1250-2","1:87 Esso Bedford Tanker",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1251-2","1:87 Esso Bedford Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1252-2","1:87 Esso Bedford Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1253-2","1:87 Bedford Flatbed Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1254-2","1:87 Bedford Flatbed Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1255-2","1:87 Bedford Fire Engine",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1256-2","1:87 Bedford Tow Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1257-2","1:87 Bedford Delivery Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1300-1","Lego Mosaik Set (Small)",NA,NA,"Basic","System","Mosaic","47",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1301-1","Lego Mosaik Set (Large)",NA,NA,"Basic","System","Mosaic",NA,NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1224_1-1","8 Danish Named Beams",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1955",NA,NA,NA,"Other"
"1224A-1","1 x 6 and 1 x 8 Bricks",NA,NA,"Basic","System","Supplemental","9",NA,NA,NA,"1955",NA,NA,NA,"Other"
"224-1","2 x 2 & 2 x 4 Curved Bricks",NA,NA,"Basic","System","Supplemental","14",NA,NA,NA,"1956","Box","Retail",NA,"Normal"
"231-2","Esso Pumps/Sign",NA,NA,"Basic","System","Supplemental","2",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"236-1","Garage with Automatic Door (White base and door frame)",NA,NA,"Basic","System","Town Plan","69",NA,NA,NA,"1956","Box","Retail",NA,"Normal"
"250-2","1:87 Esso Bedford Tanker",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"251-2","1:87 Esso Bedford Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"252-2","1:87 Esso Bedford Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"275-2","1:87 VW Van",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1200-2","LEGO Town Plan Board, Small Plastic",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1226-2","6 x 8 & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","4",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1227-2","4 x 8 & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1228-2","4 x 8 Curved & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1231-2","Windows and Door with Glass, Red",NA,NA,"Basic","System","Supplemental","10",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1231-3","Windows and Door with Glass, White",NA,NA,"Basic","System","Supplemental","10",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1270-1","5 Cyclists / Motorcyclists",NA,NA,"Basic","System","HO 1:87 Vehicles","5",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1271-2","Traffic Police Set",NA,NA,"Basic","System","Town Plan","6",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"1310-1","ESSO Filling Station",NA,NA,"Basic","System","Town Plan","96",NA,NA,NA,"1956",NA,NA,NA,"Normal"
"700_0-1","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956",NA,NA,NA,"Other"
"700_1-2","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956","Box","Retail",NA,"Other"
"700_2-2","Gift Package",NA,NA,"Basic","System","Basic Set",NA,NA,NA,NA,"1956",NA,NA,NA,"Other"
"700_3-2","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956","Box","Retail",NA,"Other"
"700_3A-2","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956","Box","Retail",NA,"Other"
"700_4-3","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956","Box","Retail",NA,"Other"
"700_5-2","Gift Package",NA,NA,"Basic","System","Basic Set",NA,NA,NA,NA,"1956",NA,NA,NA,"Other"
"700_6-2","Gift Package",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1956",NA,NA,NA,"Other"
"200-3","LEGO Town Plan Board, Plastic",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"214-4","Windows and Doors Retailer Pack",NA,NA,"Basic","System","Supplemental","0",NA,NA,NA,"1957","Box",NA,NA,"Collection"
"225-1","1 x 6 and 1 x 8 Bricks",NA,NA,"Basic","System","Supplemental","9",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"236-2","Garage and Van",NA,NA,"Basic","System","Town Plan","69",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"283-1","Sloping Ridge and Valley Bricks, Red",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"283-2","Sloping Ridge and Valley Bricks, Blue",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1223-3","2 x 2 Curved Bricks",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1231-4","Windows and Doors Retailer Pack",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1233-2","Light Masts",NA,NA,"Basic","System","Supplemental","4",NA,NA,NA,"1957","Box","Retail",NA,"Normal"
"1234-2","Letter Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1242-2","International Flags",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1245-2","Lighting Device Pack",NA,NA,"Basic","System","Supplemental","3",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1260-2","1:87 Twenty Four Models",NA,NA,"Basic","System","HO 1:87 Vehicles","24",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1306-1","VW Garage",NA,NA,"Basic","System","Town Plan","45",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1307-1","VW Auto Showroom",NA,NA,"Basic","System","Town Plan","51",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1308-1","Fire Station",NA,NA,"Basic","System","Town Plan","111",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1309-1","Church",NA,NA,"Basic","System","Town Plan","150",NA,NA,NA,"1957",NA,NA,NA,"Normal"
"1200M-1","LEGO Town Plan Wooden Board",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1957",NA,NA,NA,"Other"
"1242D-1","5 Danish Flags",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1957",NA,NA,NA,"Other"
"200A-1","LEGO Town Plan Wooden Board",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1957",NA,NA,NA,"Other"
"200M-1","LEGO Town Plan Wooden Board",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1957",NA,NA,NA,"Other"
"700_0-2","Canister Set (Switzerland)",NA,NA,"Basic","System",NA,"196",NA,NA,NA,"1957","Canister","Retail",NA,"Other"
"700_1-3","Canister Set (Switzerland)",NA,NA,"Basic","System",NA,NA,NA,NA,NA,"1957","Canister","Retail",NA,"Other"
"700_3A-3","Canister Set (Switzerland)",NA,NA,"Basic","System",NA,"96",NA,NA,NA,"1957","Canister","Retail",NA,"Other"
"700_6-3","Canister Set (Switzerland)",NA,NA,"Basic","System",NA,NA,NA,NA,NA,"1957","Canister",NA,NA,"Other"
"210-2","Small Store Set",NA,NA,"Basic","System","Town Plan","30",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"211-2","Small House Set",NA,NA,"Basic","System","Town Plan","20",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"212-1","Small House - Left Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"213-2","Small House - Right Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"214-2","Ten Windows and Doors, Red",NA,NA,"Basic","System","Supplemental","10",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"214-3","Ten Windows and Doors, White",NA,NA,"Basic","System","Supplemental","10",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"215-2","2 x 8 Bricks",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"216-1","2 x 10 Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"217-2","4 x 4 Corner Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"218-2","2 x 4 Bricks",NA,NA,"Basic","System","Supplemental","13",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"219-1","2 x 3 Bricks",NA,NA,"Basic","System","Supplemental","15",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"220-1","2 x 2 Bricks",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"221-2","1 x 2 Bricks",NA,NA,"Basic","System","Supplemental","26",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"222-2","1 x 1 Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"223-2","1 x 1 Round Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"224-3","2 x 2 Curved Bricks",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"226-1","8 Named Beams",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"227-1","4 x 8 Curved & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"228-1","4 x 8 & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"229-1","6 x 8 & 2 x 8 Plates",NA,NA,"Basic","System","Supplemental","4",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"230-2","Six Trees and Bushes",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"232-2","16 Road Signs",NA,NA,"Basic","System","Supplemental","16",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"233-1","Light Masts",NA,NA,"Basic","System","Supplemental","4",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"234-1","Letter Bricks",NA,NA,"Basic","System","Supplemental","50",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"235-1","Garage Plate and Door (White Base and Door Frame)",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"242-1","International Flags",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"242-2","5 Danish Flags",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"245-1","Lighting Device Pack",NA,NA,"Basic","System","Supplemental","3",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"253-1","1:87 Bedford Flatbed Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"254-2","1:87 Bedford Flatbed Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"255-1","1:87 Bedford Fire Engine",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"256-2","1:87 Bedford Tow Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"257-1","1:87 Bedford Delivery Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"258-2","1:87 VW Van",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"259-1","1:87 VW Pickup",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"260-2","1:87 VW Beetle",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"261-2","1:87 VW Beetle + Showroom",NA,NA,"Basic","System","HO 1:87 Vehicles","4",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"270-1","5 Cyclists / Motorcyclists",NA,NA,"Basic","System","HO 1:87 Vehicles","5",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"271-2","Traffic Police Set",NA,NA,"Basic","System","Town Plan","6",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"306-2","VW Garage",NA,NA,"Basic","System","Town Plan","45",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"307-2","VW Auto Showroom",NA,NA,"Basic","System","Town Plan","51",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"308-3","Fire Station",NA,NA,"Basic","System","Town Plan","111",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"309-2","Church",NA,NA,"Basic","System","Town Plan","149",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"310-5","ESSO Filling Station",NA,NA,"Basic","System","Town Plan","98",NA,NA,NA,"1958","Box","Retail",NA,"Normal"
"700-2","Wooden Storage Box, Empty",NA,NA,"Basic","System","Wooden Box Set",NA,NA,NA,NA,"1958",NA,NA,NA,"Normal"
"700-13","Wooden Storage Box with Contents",NA,NA,"Basic","System","Wooden Box Set","493",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"1234-4","Lego Mursten System i Leg 1 x 1 Letter Bricks",NA,NA,"Basic","System","Basic Set",NA,NA,NA,NA,"1958",NA,NA,NA,"Normal"
"1261-2","1:87 VW Beetle",NA,NA,"Basic","System","HO 1:87 Vehicles","4",NA,NA,NA,"1958",NA,NA,NA,"Normal"
"242I-1","International Flags",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1958",NA,NA,NA,"Other"
"BIL01-1","LEGO Complimentray Pack",NA,NA,"Miscellaneous","Promotional",NA,"17",NA,NA,NA,"1958","Box","Promotional",NA,"Other"
"LEGOBRICKS-1","Lego Bricks Box",NA,NA,"Basic","System","Basic Set","2",NA,NA,NA,"1958",NA,NA,NA,"Other"
"200-4","LEGO Town Plan Board, Continental European Cardboard Version",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"280-1","Sloping Roof Bricks, Red",NA,NA,"Basic","System","Supplemental","14",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"280-2","Sloping Roof Bricks, Blue",NA,NA,"Basic","System","Supplemental","14",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"281-1","1 x 2 and 3 x 2 Sloping Bricks, Red",NA,NA,"Basic","System","Supplemental","21",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"281-2","1 x 2 and 3 x 2 Sloping Bricks, Blue",NA,NA,"Basic","System","Supplemental","21",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"282-1","2 x 2 Sloping Roof Bricks, Red",NA,NA,"Basic","System","Supplemental","22",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"282-2","2 x 2 Sloping Roof Bricks, Blue",NA,NA,"Basic","System","Supplemental","22",NA,NA,NA,"1959",NA,NA,NA,"Normal"
"VWKIT-1","Volkswagen Kit",NA,NA,"Basic","System","Basic Set","22",NA,NA,NA,"1959",NA,NA,NA,"Other"
"237-1","Number Bricks",NA,NA,"Basic","System","Supplemental","50",NA,NA,NA,"1960",NA,NA,NA,"Normal"
"700K-1","Kindergarten LEGO Set",NA,NA,"Educational","Dacta","Classic","475",NA,NA,NA,"1960",NA,NA,NA,"Other"
"215-3","2 X 8 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","9",NA,"$0.50","5.6c","1961","Box","Retail",NA,"Normal"
"216-2","2 X 10 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","8",NA,NA,NA,"1961","Box","Retail",NA,"Normal"
"217-3","4 x 4 Corner Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","10",NA,"$0.50","5.0c","1961","Box","Retail",NA,"Normal"
"218-3","2 x 4 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","20",NA,"$0.50","2.5c","1961","Box","Retail",NA,"Normal"
"219-2","2 X 3 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","24",NA,"$0.50","2.1c","1961","Box","Retail",NA,"Normal"
"220-2","2 X 2 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","33",NA,"$0.50","1.5c","1961","Box","Retail",NA,"Normal"
"221-3","1 X 2 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","45",NA,"$0.50","1.1c","1961","Box","Retail",NA,"Normal"
"222-3","1 x 1 Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","40",NA,"$0.50","1.3c","1961","Box","Retail",NA,"Normal"
"223-3","1 x 1 Round Bricks",NA,NA,"Vintage","Samsonite","Supplemental","62",NA,"$0.50","0.8c","1961","Box","Retail",NA,"Normal"
"224-2","Bricks Curved","3 - 12",NA,"Vintage","Samsonite","Supplemental","33",NA,"$0.50","1.5c","1961","Box","Retail",NA,"Normal"
"226-3","1 X 8 & 1 X 6 Named Beams","3 - 12",NA,"Vintage","Samsonite","Supplemental","10",NA,"$0.50","5.0c","1961","Box","Retail",NA,"Normal"
"228-2","4 X 8 Plates","3 - 12",NA,"Vintage","Samsonite","Supplemental","10",NA,"$0.50","5.0c","1961","Box","Retail",NA,"Normal"
"230-3","Trees and Bushes","3 - 12",NA,"Vintage","Samsonite","Supplemental","12",NA,"$0.50","4.2c","1961","Box","Retail",NA,"Normal"
"231-3","Esso Stations (Pumps and Sign)","3 - 12",NA,"Vintage","Samsonite","Supplemental","2",NA,"$0.50","25.0c","1961","Box","Retail",NA,"Normal"
"232-3","Road Signs","3 - 12",NA,"Vintage","Samsonite","Supplemental","15",NA,"$0.50","3.3c","1961","Box","Retail",NA,"Normal"
"233-2","Street Lamps","3 - 12",NA,"Vintage","Samsonite","Supplemental","9",NA,"$0.50","5.6c","1961","Box","Retail",NA,"Normal"
"234-2","Lettered Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","35",NA,"$0.50","1.4c","1961","Box","Retail",NA,"Normal"
"235-3","Garage Plate and Door (White Base and Door Frame)","3 - 12",NA,"Vintage","Samsonite","Supplemental","3",NA,"$0.50","16.7c","1961","Box","Retail",NA,"Normal"
"237-2","Numbered Bricks","3 - 12",NA,"Vintage","Samsonite","Supplemental","35",NA,"$0.50","1.4c","1961","Box","Retail",NA,"Normal"
"242-3","International Flags","3 - 12",NA,"Vintage","Samsonite","Supplemental","7",NA,"$0.50","7.1c","1961","Box","Retail",NA,"Normal"
"245-3","Lighting Device Pack",NA,NA,"Vintage","Samsonite","Supplemental","3",NA,"$0.50","16.7c","1961","Box","Retail",NA,"Normal"
"246-1","LEGO Town Plan Board",NA,NA,"Vintage","Samsonite","Town Plan","1",NA,"$1.50","150.0c","1961",NA,NA,NA,"Normal"
"262-1","1:87 Opel Rekord with Garage",NA,NA,"Basic","System","HO 1:87 Vehicles","3",NA,NA,NA,"1961",NA,NA,NA,"Normal"
"263-2","1:87 Ford Taunus 17M de Luxe with Garage",NA,NA,"Basic","System","HO 1:87 Vehicles","3",NA,NA,NA,"1961",NA,NA,NA,"Normal"
"264-2","1:87 Mercedes 220 with Garage",NA,NA,"Basic","System","HO 1:87 Vehicles","3",NA,NA,NA,"1961",NA,NA,NA,"Normal"
"265-2","1:87 Karmann Ghia with Garage",NA,NA,"Basic","System","HO 1:87 Vehicles","3",NA,NA,NA,"1961",NA,NA,NA,"Normal"
