"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"44016-1","JAW Beast vs. STORMER","6 - 12","3.6","Constraction","HERO Factory","Invasion From Below","49","1 ","$9.99 |","20.4c","2014","Foil pack","Retail","Yes","Normal"
"44017-1","STORMER Freeze Machine","7 - 14","3.6","Constraction","HERO Factory","Invasion From Below","88","3 ","$14.99 |","17.0c","2014","Foil pack","Retail","Yes","Normal"
"44018-1","FURNO Jet Machine","7 - 14","3.3","Constraction","HERO Factory","Invasion From Below","79","2 ","$14.99 |","19.0c","2014","Foil pack","Retail","Yes","Normal"
"44019-1","ROCKA Stealth Machine","7 - 14","3.6","Constraction","HERO Factory","Invasion From Below","89","2 ","$14.99 |","16.8c","2014","Foil pack","Retail","Yes","Normal"
"44020-1","FLYER Beast vs. BREEZ","7 - 14","3.8","Constraction","HERO Factory","Invasion From Below","91","1 (1 Unique to this set)","$14.99 |","16.5c","2014","Foil pack","Retail","Yes","Normal"
"44021-1","SPLITTER Beast vs. FURNO & EVO","8 - 14","3.7","Constraction","HERO Factory","Invasion From Below","108","2 ","$19.99 |","18.5c","2014","Foil pack","Retail","Yes","Normal"
"44022-1","EVO XL Machine","8 - 14","4.5","Constraction","HERO Factory","Invasion From Below","193","3 ","$24.99 |","12.9c","2014","Foil pack","Retail","Yes","Normal"
"44023-1","ROCKA Crawler","6 - 12","3.6","Constraction","HERO Factory","Invasion From Below","49","2 ","$9.99 |","20.4c","2014","Foil pack","Retail","Yes","Normal"
"44024-1","TUNNELER Beast vs. SURGE","6 - 12","3.9","Constraction","HERO Factory","Invasion From Below","59","1 (1 Unique to this set)","$9.99 |","16.9c","2014","Foil pack","Retail","Yes","Normal"
"44025-1","BULK Drill Machine","7 - 14","3.6","Constraction","HERO Factory","Invasion From Below","113","2 (2 Unique to this set)","$14.99 |","13.3c","2014","Foil pack","Retail","Yes","Normal"
"44026-1","CRYSTAL Beast vs. BULK","7 - 14","3.7","Constraction","HERO Factory","Invasion From Below","83","1 (1 Unique to this set)","$14.99 |","18.1c","2014","Foil pack","Retail","Yes","Normal"
"44027-1","BREEZ Flea Machine","7 - 14",NA,"Constraction","HERO Factory","Invasion From Below","102","2 (1 Unique to this set)","$14.99 |","14.7c","2014","Foil pack","Retail","Yes","Normal"
"44028-1","SURGE & ROCKA Combat Machine","8 - 14","3.6","Constraction","HERO Factory","Invasion From Below","188","4 (2 Unique to this set)","$24.99 |","13.3c","2014","Box","Retail","Yes","Normal"
"44029-1","QUEEN Beast vs. FURNO, EVO & STORMER","8 - 14","4.0","Constraction","HERO Factory","Invasion From Below","218","4 (3 Unique to this set)","$34.99 |","16.1c","2014","Box","Retail","Yes","Normal"
"45004-1","Cafe+","3+",NA,"Educational","Education","Duplo","131",NA,NA,NA,"2014","Tub","Educational",NA,"Normal"
"45005-1","Story Tales",NA,NA,"Educational","Education","Duplo","109","6 ","$139.95, 134.99€ |","128.4c, 123.8c","2014",NA,NA,NA,"Normal"
"45006-1","Multi Vehicles",NA,NA,"Educational","Education","Duplo","32","4 ",NA,NA,"2014",NA,NA,"Yes","Normal"
"45007-1","Large Farm",NA,NA,"Educational","Education","Duplo","154","4 ",NA,NA,"2014",NA,NA,NA,"Normal"
"45120-1","LearnToLearn Core set",NA,NA,"Educational","Education",NA,"2018",NA,NA,NA,"2014",NA,NA,NA,"Normal"
